village_id,village_name,month,solar_irradiance,avg_temperature,days_observed
V001,Village A,1,4.614980645161291,21.55806451612903,31
V001,Village A,2,5.615196428571429,24.966785714285717,28
V001,Village A,3,6.4803,27.84741935483871,31
V001,Village A,4,6.923016666666667,30.274,30
V001,Village A,5,5.440348387096774,27.240645161290324,31
V001,Village A,6,4.116466666666667,25.428333333333335,30
V001,Village A,7,3.0155451612903224,24.146129032258063,31
V001,Village A,8,3.2551580645161287,23.793548387096774,31
V001,Village A,9,3.1072100000000002,23.37933333333333,30
V001,Village A,10,4.600883870967742,23.029677419354837,31
V001,Village A,11,4.75438,19.515,30
V001,Village A,12,4.638825806451613,19.07193548387097,31
V002,Village B,1,4.614980645161291,21.55806451612903,31
V002,Village B,2,5.615196428571429,24.966785714285717,28
V002,Village B,3,6.4803,27.84741935483871,31
V002,Village B,4,6.923016666666667,30.274,30
V002,Village B,5,5.440348387096774,27.240645161290324,31
V002,Village B,6,4.116466666666667,25.428333333333335,30
V002,Village B,7,3.0155451612903224,24.146129032258063,31
V002,Village B,8,3.2551580645161287,23.793548387096774,31
V002,Village B,9,3.1072100000000002,23.37933333333333,30
V002,Village B,10,4.600883870967742,23.029677419354837,31
V002,Village B,11,4.75438,19.515,30
V002,Village B,12,4.638825806451613,19.07193548387097,31
V003,Village C,1,4.614980645161291,21.55806451612903,31
V003,Village C,2,5.615196428571429,24.966785714285717,28
V003,Village C,3,6.4803,27.84741935483871,31
V003,Village C,4,6.923016666666667,30.274,30
V003,Village C,5,5.440348387096774,27.240645161290324,31
V003,Village C,6,4.116466666666667,25.428333333333335,30
V003,Village C,7,3.0155451612903224,24.146129032258063,31
V003,Village C,8,3.2551580645161287,23.793548387096774,31
V003,Village C,9,3.1072100000000002,23.37933333333333,30
V003,Village C,10,4.600883870967742,23.029677419354837,31
V003,Village C,11,4.75438,19.515,30
V003,Village C,12,4.638825806451613,19.07193548387097,31
V004,Village D,1,4.614980645161291,21.55806451612903,31
V004,Village D,2,5.615196428571429,24.966785714285717,28
V004,Village D,3,6.4803,27.84741935483871,31
V004,Village D,4,6.923016666666667,30.274,30
V004,Village D,5,5.440348387096774,27.240645161290324,31
V004,Village D,6,4.116466666666667,25.428333333333335,30
V004,Village D,7,3.0155451612903224,24.146129032258063,31
V004,Village D,8,3.2551580645161287,23.793548387096774,31
V004,Village D,9,3.1072100000000002,23.37933333333333,30
V004,Village D,10,4.600883870967742,23.029677419354837,31
V004,Village D,11,4.75438,19.515,30
V004,Village D,12,4.638825806451613,19.07193548387097,31
V005,Village E,1,4.614980645161291,21.55806451612903,31
V005,Village E,2,5.615196428571429,24.966785714285717,28
V005,Village E,3,6.4803,27.84741935483871,31
V005,Village E,4,6.923016666666667,30.274,30
V005,Village E,5,5.440348387096774,27.240645161290324,31
V005,Village E,6,4.116466666666667,25.428333333333335,30
V005,Village E,7,3.0155451612903224,24.146129032258063,31
V005,Village E,8,3.2551580645161287,23.793548387096774,31
V005,Village E,9,3.1072100000000002,23.37933333333333,30
V005,Village E,10,4.600883870967742,23.029677419354837,31
