date,solar_resource,avg_temperature,month,village_id,village_name
2025-01-01,4.4815,21.27,1,V009,Village I
2025-01-02,5.0878,21.01,1,V009,Village I
2025-01-03,5.2433,20.47,1,V009,Village I
2025-01-04,5.2478,21.17,1,V009,Village I
2025-01-05,3.5633,19.91,1,V009,Village I
2025-01-06,4.7383,18.65,1,V009,Village I
2025-01-07,4.4227,18.45,1,V009,Village I
2025-01-08,4.8386,18.27,1,V009,Village I
2025-01-09,5.0057,18.63,1,V009,Village I
2025-01-10,3.9017,19.77,1,V009,Village I
2025-01-11,3.1466,20.09,1,V009,Village I
2025-01-12,2.8296,19.43,1,V009,Village I
2025-01-13,3.5856,19.71,1,V009,Village I
2025-01-14,3.7392,21.58,1,V009,Village I
2025-01-15,3.6288,22.24,1,V009,Village I
2025-01-16,3.413,21.51,1,V009,Village I
2025-01-17,4.1237,21.79,1,V009,Village I
2025-01-18,4.5926,21.64,1,V009,Village I
2025-01-19,4.7813,21.81,1,V009,Village I
2025-01-20,5.0784,22.21,1,V009,Village I
2025-01-21,5.1828,21.94,1,V009,Village I
2025-01-22,5.1593,22.46,1,V009,Village I
2025-01-23,4.95,21.73,1,V009,Village I
2025-01-24,4.9366,23.1,1,V009,Village I
2025-01-25,5.1624,24.11,1,V009,Village I
2025-01-26,5.2145,24.44,1,V009,Village I
2025-01-27,5.106,24.28,1,V009,Village I
2025-01-28,5.1257,24.69,1,V009,Village I
2025-01-29,5.1698,25.4,1,V009,Village I
2025-01-30,5.1048,24.01,1,V009,Village I
2025-01-31,5.2514,22.53,1,V009,Village I
2025-02-01,5.2056,22.2,2,V009,Village I
2025-02-02,5.1048,23.44,2,V009,Village I
2025-02-03,5.0568,24.22,2,V009,Village I
2025-02-04,4.9968,23.61,2,V009,Village I
2025-02-05,5.2992,22.7,2,V009,Village I
2025-02-06,4.9157,24.01,2,V009,Village I
2025-02-07,4.5905,24.41,2,V009,Village I
2025-02-08,4.6555,25.18,2,V009,Village I
2025-02-09,4.445,25.56,2,V009,Village I
2025-02-10,4.362,25.04,2,V009,Village I
2025-02-11,5.1564,24.18,2,V009,Village I
2025-02-12,5.8706,23.43,2,V009,Village I
2025-02-13,5.9851,24.21,2,V009,Village I
2025-02-14,6.0418,24.65,2,V009,Village I
2025-02-15,6.1944,25.01,2,V009,Village I
2025-02-16,6.013,25.45,2,V009,Village I
2025-02-17,5.8483,25.32,2,V009,Village I
2025-02-18,6.0166,25.14,2,V009,Village I
2025-02-19,5.965,25.03,2,V009,Village I
2025-02-20,6.1159,24.91,2,V009,Village I
2025-02-21,6.1716,25.62,2,V009,Village I
2025-02-22,6.1214,26.0,2,V009,Village I
2025-02-23,6.2791,25.99,2,V009,Village I
2025-02-24,6.1457,25.84,2,V009,Village I
2025-02-25,6.0307,26.52,2,V009,Village I
2025-02-26,6.0077,26.81,2,V009,Village I
2025-02-27,6.0754,27.1,2,V009,Village I
2025-02-28,5.7842,27.49,2,V009,Village I
2025-03-01,5.513,27.41,3,V009,Village I
2025-03-02,5.5212,26.52,3,V009,Village I
2025-03-03,6.3139,26.72,3,V009,Village I
2025-03-04,6.2402,25.56,3,V009,Village I
2025-03-05,7.0862,24.0,3,V009,Village I
2025-03-06,7.1532,24.81,3,V009,Village I
2025-03-07,6.2448,25.9,3,V009,Village I
2025-03-08,6.5837,27.18,3,V009,Village I
2025-03-09,6.7726,28.22,3,V009,Village I
2025-03-10,6.0991,28.58,3,V009,Village I
2025-03-11,6.0298,29.33,3,V009,Village I
2025-03-12,6.0694,30.11,3,V009,Village I
2025-03-13,5.7955,29.41,3,V009,Village I
2025-03-14,6.4922,28.33,3,V009,Village I
2025-03-15,6.0631,28.33,3,V009,Village I
2025-03-16,5.9851,28.04,3,V009,Village I
2025-03-17,6.3895,26.5,3,V009,Village I
2025-03-18,6.7922,27.75,3,V009,Village I
2025-03-19,6.3223,27.49,3,V009,Village I
2025-03-20,6.1891,26.7,3,V009,Village I
2025-03-21,6.882,25.62,3,V009,Village I
2025-03-22,7.2665,26.58,3,V009,Village I
2025-03-23,6.9014,28.41,3,V009,Village I
2025-03-24,6.869,29.32,3,V009,Village I
2025-03-25,6.8455,29.17,3,V009,Village I
2025-03-26,6.587,29.35,3,V009,Village I
2025-03-27,6.3014,26.79,3,V009,Village I
2025-03-28,6.3038,28.51,3,V009,Village I
2025-03-29,5.7991,30.09,3,V009,Village I
2025-03-30,5.483,30.64,3,V009,Village I
2025-03-31,4.957,31.9,3,V009,Village I
2025-04-01,2.5781,30.94,4,V009,Village I
2025-04-02,4.867,30.71,4,V009,Village I
2025-04-03,5.0424,29.8,4,V009,Village I
2025-04-04,6.3288,29.66,4,V009,Village I
2025-04-05,7.1314,29.97,4,V009,Village I
2025-04-06,7.4155,30.67,4,V009,Village I
2025-04-07,7.4093,31.3,4,V009,Village I
2025-04-08,7.2504,31.8,4,V009,Village I
2025-04-09,6.8698,31.85,4,V009,Village I
2025-04-10,7.0394,30.47,4,V009,Village I
2025-04-11,7.111,28.37,4,V009,Village I
2025-04-12,7.4273,27.6,4,V009,Village I
2025-04-13,7.0824,29.56,4,V009,Village I
2025-04-14,7.4726,29.51,4,V009,Village I
2025-04-15,7.0826,29.92,4,V009,Village I
2025-04-16,6.7411,30.07,4,V009,Village I
2025-04-17,7.1494,30.08,4,V009,Village I
2025-04-18,7.0027,30.54,4,V009,Village I
2025-04-19,7.1904,29.8,4,V009,Village I
2025-04-20,7.404,29.22,4,V009,Village I
2025-04-21,7.3699,29.65,4,V009,Village I
2025-04-22,7.3639,30.96,4,V009,Village I
2025-04-23,7.1513,32.15,4,V009,Village I
2025-04-24,6.8314,30.79,4,V009,Village I
2025-04-25,6.5328,30.67,4,V009,Village I
2025-04-26,6.1586,29.93,4,V009,Village I
2025-04-27,7.5319,30.8,4,V009,Village I
2025-04-28,7.5259,30.83,4,V009,Village I
2025-04-29,7.4741,30.56,4,V009,Village I
2025-04-30,7.5542,30.04,4,V009,Village I
2025-05-01,7.6493,31.08,5,V009,Village I
2025-05-02,7.5953,31.04,5,V009,Village I
2025-05-03,7.4549,29.6,5,V009,Village I
2025-05-04,7.5204,27.27,5,V009,Village I
2025-05-05,6.8578,28.47,5,V009,Village I
2025-05-06,6.407,27.0,5,V009,Village I
2025-05-07,4.5816,24.73,5,V009,Village I
2025-05-08,4.9932,24.9,5,V009,Village I
2025-05-09,6.3377,25.97,5,V009,Village I
2025-05-10,6.5957,27.3,5,V009,Village I
2025-05-11,6.059,28.02,5,V009,Village I
2025-05-12,4.4774,27.57,5,V009,Village I
2025-05-13,5.4785,27.76,5,V009,Village I
2025-05-14,5.6393,27.93,5,V009,Village I
2025-05-15,4.3106,27.54,5,V009,Village I
2025-05-16,4.3351,27.29,5,V009,Village I
2025-05-17,5.7991,26.89,5,V009,Village I
