date,solar_resource,avg_temperature,month,village_id,village_name
2025-01-01,4.4815,20.8,1,V010,Village J
2025-01-02,5.0878,20.13,1,V010,Village J
2025-01-03,5.2433,19.86,1,V010,Village J
2025-01-04,5.2478,21.41,1,V010,Village J
2025-01-05,3.5633,20.8,1,V010,Village J
2025-01-06,4.7383,19.08,1,V010,Village J
2025-01-07,4.4227,17.44,1,V010,Village J
2025-01-08,4.8386,16.54,1,V010,Village J
2025-01-09,5.0057,17.68,1,V010,Village J
2025-01-10,3.9017,19.44,1,V010,Village J
2025-01-11,3.1466,20.33,1,V010,Village J
2025-01-12,2.8296,19.42,1,V010,Village J
2025-01-13,3.5856,18.66,1,V010,Village J
2025-01-14,3.7392,20.92,1,V010,Village J
2025-01-15,3.6288,22.6,1,V010,Village J
2025-01-16,3.413,21.78,1,V010,Village J
2025-01-17,4.1237,21.24,1,V010,Village J
2025-01-18,4.5926,20.87,1,V010,Village J
2025-01-19,4.7813,21.29,1,V010,Village J
2025-01-20,5.0784,21.46,1,V010,Village J
2025-01-21,5.1828,22.02,1,V010,Village J
2025-01-22,5.1593,22.29,1,V010,Village J
2025-01-23,4.95,21.5,1,V010,Village J
2025-01-24,4.9366,21.76,1,V010,Village J
2025-01-25,5.1624,22.85,1,V010,Village J
2025-01-26,5.2145,23.44,1,V010,Village J
2025-01-27,5.106,23.95,1,V010,Village J
2025-01-28,5.1257,24.77,1,V010,Village J
2025-01-29,5.1698,25.33,1,V010,Village J
2025-01-30,5.1048,24.1,1,V010,Village J
2025-01-31,5.2514,22.8,1,V010,Village J
2025-02-01,5.2056,22.57,2,V010,Village J
2025-02-02,5.1048,23.43,2,V010,Village J
2025-02-03,5.0568,25.01,2,V010,Village J
2025-02-04,4.9968,24.5,2,V010,Village J
2025-02-05,5.2992,22.9,2,V010,Village J
2025-02-06,4.9157,22.86,2,V010,Village J
2025-02-07,4.5905,23.5,2,V010,Village J
2025-02-08,4.6555,24.69,2,V010,Village J
2025-02-09,4.445,25.61,2,V010,Village J
2025-02-10,4.362,25.45,2,V010,Village J
2025-02-11,5.1564,24.5,2,V010,Village J
2025-02-12,5.8706,23.1,2,V010,Village J
2025-02-13,5.9851,23.66,2,V010,Village J
2025-02-14,6.0418,24.34,2,V010,Village J
2025-02-15,6.1944,25.37,2,V010,Village J
2025-02-16,6.013,25.33,2,V010,Village J
2025-02-17,5.8483,25.21,2,V010,Village J
2025-02-18,6.0166,25.48,2,V010,Village J
2025-02-19,5.965,25.33,2,V010,Village J
2025-02-20,6.1159,24.92,2,V010,Village J
2025-02-21,6.1716,25.43,2,V010,Village J
2025-02-22,6.1214,25.88,2,V010,Village J
2025-02-23,6.2791,25.98,2,V010,Village J
2025-02-24,6.1457,25.51,2,V010,Village J
2025-02-25,6.0307,26.01,2,V010,Village J
2025-02-26,6.0077,26.16,2,V010,Village J
2025-02-27,6.0754,27.26,2,V010,Village J
2025-02-28,5.7842,27.47,2,V010,Village J
2025-03-01,5.513,27.75,3,V010,Village J
2025-03-02,5.5212,27.02,3,V010,Village J
2025-03-03,6.3139,26.96,3,V010,Village J
2025-03-04,6.2402,25.74,3,V010,Village J
2025-03-05,7.0862,23.0,3,V010,Village J
2025-03-06,7.1532,24.14,3,V010,Village J
2025-03-07,6.2448,26.17,3,V010,Village J
2025-03-08,6.5837,26.98,3,V010,Village J
2025-03-09,6.7726,27.66,3,V010,Village J
2025-03-10,6.0991,27.96,3,V010,Village J
